sample1	sample2	dis	sam1_group	sam2_group	group	day
F41_35	F44_35	6.85	2	2	2_2	35-35
F41_35	F44_56	4.93	2	2	2_2	35-56
F41_35	F47_35	7.6	2	2	2_2	35-35
F41_35	F47_56	13.29	2	2	2_2	35-56
F41_35	F48_35	5.11	2	2	2_2	35-35
F41_35	F48_56	77.38	2	2	2_2	35-56
F41_35	F49_35	38.97	2	2	2_2	35-35
F41_35	F49_56	20.61	2	2	2_2	35-56
F41_35	F61_35	6.02	2	2	2_2	35-35
F41_35	F61_56	6.16	2	2	2_2	35-56
F41_35	F62_35	8.49	2	1	2_1	35-35
F41_35	F62_56	9.34	2	1	2_1	35-56
F41_35	F63_35	11.69	2	1	2_1	35-35
F41_35	F64_15	20.98	2	1	2_1	35-15
F41_35	F64_35	13.68	2	1	2_1	35-35
F41_35	F64_56	44.82	2	1	2_1	35-56
F41_35	F65_35	7.21	2	1	2_1	35-35
F41_35	F66_15	84.86	2	3	2_3	35-15
F41_35	F66_56	8.7	2	3	2_3	35-56
F41_35	F67_35	5.8	2	3	2_3	35-35
F41_35	F68_15	43.67	2	3	2_3	35-15
F41_35	F69_56	15.52	2	3	2_3	35-56
F41_35	F90_56	7.06	2	1	2_1	35-56
F41_35	F91_15	67.06	2	1	2_1	35-15
F41_35	F91_35	9.91	2	1	2_1	35-35
F41_35	F91_56	5.61	2	1	2_1	35-56
F41_35	F92_35	9.07	2	1	2_1	35-35
F41_35	F92_56	55.98	2	1	2_1	35-56
F41_35	F39_15	5.34	2	2	2_2	35-15
F41_35	F39_35	8.43	2	2	2_2	35-35
F41_35	F39_56	5.39	2	2	2_2	35-56
F41_35	F52_56	10.93	2	2	2_2	35-56
F41_35	F53_35	10.08	2	2	2_2	35-35
F41_35	F55_35	6.38	2	2	2_2	35-35
F41_35	F55_56	15.76	2	2	2_2	35-56
F41_35	F56_35	8.34	2	2	2_2	35-35
F41_35	F56_56	9.65	2	2	2_2	35-56
F41_35	F58_56	9.5	2	2	2_2	35-56
F41_35	F70_35	14.32	2	3	2_3	35-35
F41_35	F70_56	26.18	2	3	2_3	35-56
F41_35	F73_35	4.31	2	3	2_3	35-35
F41_35	F73_56	20.43	2	3	2_3	35-56
F41_35	F75_35	8.17	2	3	2_3	35-35
F41_35	F75_56	6.21	2	3	2_3	35-56
F41_35	F76_15	46.91	2	3	2_3	35-15
F41_35	F76_35	9.59	2	3	2_3	35-35
F41_35	F76_56	32.03	2	3	2_3	35-56
F41_35	F77_15	11.65	2	3	2_3	35-15
F41_35	F77_35	26.65	2	3	2_3	35-35
F41_35	F77_56	7.1	2	3	2_3	35-56
F41_35	F79_35	45.21	2	3	2_3	35-35
F41_35	F79_56	5.42	2	3	2_3	35-56
F41_35	F80_15	6.86	2	3	2_3	35-15
F41_35	F80_35	7.17	2	3	2_3	35-35
F41_35	F80_56	46.56	2	3	2_3	35-56
F41_35	F84_56	37.15	2	1	2_1	35-56
F41_35	F86_15	47.0	2	1	2_1	35-15
F41_35	F86_56	21.01	2	1	2_1	35-56
F41_35	F87_35	9.49	2	1	2_1	35-35
F41_35	F87_56	6.14	2	1	2_1	35-56
F41_35	F88_35	9.96	2	1	2_1	35-35
F41_35	F88_56	8.93	2	1	2_1	35-56
F41_35	F89_35	15.74	2	1	2_1	35-35
F44_35	F41_35	6.85	2	2	2_2	35-35
F44_35	F44_56	1.62	2	2	2_2	35-56
F44_35	F47_35	4.08	2	2	2_2	35-35
F44_35	F47_56	7.63	2	2	2_2	35-56
F44_35	F48_35	2.96	2	2	2_2	35-35
F44_35	F48_56	53.21	2	2	2_2	35-56
F44_35	F49_35	33.63	2	2	2_2	35-35
F44_35	F49_56	11.13	2	2	2_2	35-56
F44_35	F61_35	3.31	2	2	2_2	35-35
F44_35	F61_56	5.09	2	2	2_2	35-56
F44_35	F62_35	6.43	2	1	2_1	35-35
F44_35	F62_56	5.19	2	1	2_1	35-56
F44_35	F63_35	5.35	2	1	2_1	35-35
F44_35	F64_15	12.86	2	1	2_1	35-15
F44_35	F64_35	9.07	2	1	2_1	35-35
F44_35	F64_56	32.57	2	1	2_1	35-56
F44_35	F65_35	3.15	2	1	2_1	35-35
F44_35	F66_15	67.09	2	3	2_3	35-15
F44_35	F66_56	5.01	2	3	2_3	35-56
F44_35	F67_35	4.81	2	3	2_3	35-35
F44_35	F68_15	34.49	2	3	2_3	35-15
F44_35	F69_56	9.95	2	3	2_3	35-56
F44_35	F90_56	4.93	2	1	2_1	35-56
F44_35	F91_15	62.78	2	1	2_1	35-15
F44_35	F91_35	6.29	2	1	2_1	35-35
F44_35	F91_56	3.69	2	1	2_1	35-56
F44_35	F92_35	4.79	2	1	2_1	35-35
F44_35	F92_56	25.86	2	1	2_1	35-56
F44_35	F39_15	2.38	2	2	2_2	35-15
