sample1	sample2	dis	sam1_group	sam2_group	group	day
F41_15	F41_35	128.03	2	2	2_2	15-35
F41_15	F41_56	33.09	2	2	2_2	15-56
F41_15	F44_15	16.87	2	2	2_2	15-15
F41_15	F44_35	23.48	2	2	2_2	15-35
F41_15	F44_56	60.87	2	2	2_2	15-56
F41_15	F47_15	35.77	2	2	2_2	15-15
F41_15	F47_35	48.58	2	2	2_2	15-35
F41_15	F47_56	59.99	2	2	2_2	15-56
F41_15	F48_15	33.3	2	2	2_2	15-15
F41_15	F48_35	32.12	2	2	2_2	15-35
F41_15	F48_56	156.17	2	2	2_2	15-56
F41_15	F49_15	58.71	2	2	2_2	15-15
F41_15	F49_35	42.81	2	2	2_2	15-35
F41_15	F49_56	21.16	2	2	2_2	15-56
F41_15	F61_15	24.46	2	2	2_2	15-15
F41_15	F61_35	50.66	2	2	2_2	15-35
F41_15	F61_56	20.06	2	2	2_2	15-56
F41_15	F62_15	20.3	2	1	2_1	15-15
F41_15	F62_56	20.51	2	1	2_1	15-56
F41_15	F63_35	160.24	2	1	2_1	15-35
F41_15	F63_56	26.72	2	1	2_1	15-56
F41_15	F64_35	20.26	2	1	2_1	15-35
F41_15	F64_56	35.04	2	1	2_1	15-56
F41_15	F65_15	12.26	2	1	2_1	15-15
F41_15	F65_35	89.44	2	1	2_1	15-35
F41_15	F65_56	19.39	2	1	2_1	15-56
F41_15	F66_35	22.27	2	3	2_3	15-35
F41_15	F66_56	42.76	2	3	2_3	15-56
F41_15	F67_35	22.31	2	3	2_3	15-35
F41_15	F67_56	73.59	2	3	2_3	15-56
F41_15	F68_56	18.32	2	3	2_3	15-56
F41_15	F69_15	24.94	2	3	2_3	15-15
F41_15	F69_35	71.1	2	3	2_3	15-35
F41_15	F69_56	23.5	2	3	2_3	15-56
F41_15	F90_35	50.81	2	1	2_1	15-35
F41_15	F90_56	20.7	2	1	2_1	15-56
F41_15	F91_15	24.14	2	1	2_1	15-15
F41_15	F91_35	26.3	2	1	2_1	15-35
F41_15	F91_56	18.79	2	1	2_1	15-56
F41_15	F92_35	21.0	2	1	2_1	15-35
F41_15	F92_56	24.02	2	1	2_1	15-56
F41_15	F39_35	23.36	2	2	2_2	15-35
F41_15	F39_56	21.37	2	2	2_2	15-56
F41_15	F52_56	22.94	2	2	2_2	15-56
F41_15	F53_15	10.14	2	2	2_2	15-15
F41_15	F53_35	36.89	2	2	2_2	15-35
F41_15	F55_35	122.26	2	2	2_2	15-35
F41_15	F55_56	22.63	2	2	2_2	15-56
F41_15	F56_15	79.73	2	2	2_2	15-15
F41_15	F56_35	18.83	2	2	2_2	15-35
F41_15	F56_56	23.51	2	2	2_2	15-56
F41_15	F58_15	26.66	2	2	2_2	15-15
F41_15	F58_35	31.78	2	2	2_2	15-35
F41_15	F58_56	27.45	2	2	2_2	15-56
F41_15	F70_15	40.44	2	3	2_3	15-15
F41_15	F70_35	25.3	2	3	2_3	15-35
F41_15	F70_56	79.4	2	3	2_3	15-56
F41_15	F73_15	22.88	2	3	2_3	15-15
F41_15	F73_35	27.2	2	3	2_3	15-35
F41_15	F73_56	16.68	2	3	2_3	15-56
F41_15	F75_15	27.68	2	3	2_3	15-15
F41_15	F75_35	22.22	2	3	2_3	15-35
F41_15	F75_56	17.88	2	3	2_3	15-56
F41_15	F76_15	25.88	2	3	2_3	15-15
F41_15	F76_35	27.32	2	3	2_3	15-35
F41_15	F77_15	24.94	2	3	2_3	15-15
F41_15	F77_35	24.12	2	3	2_3	15-35
F41_15	F77_56	18.8	2	3	2_3	15-56
F41_15	F79_15	23.15	2	3	2_3	15-15
F41_15	F79_35	26.63	2	3	2_3	15-35
F41_15	F79_56	29.55	2	3	2_3	15-56
F41_15	F80_35	98.43	2	3	2_3	15-35
F41_15	F80_56	20.69	2	3	2_3	15-56
F41_15	F83_35	33.99	2	3	2_3	15-35
F41_15	F83_56	77.44	2	3	2_3	15-56
F41_15	F84_35	22.26	2	1	2_1	15-35
F41_15	F86_35	17.42	2	1	2_1	15-35
F41_15	F86_56	21.04	2	1	2_1	15-56
F41_15	F87_35	15.91	2	1	2_1	15-35
F41_15	F87_56	22.03	2	1	2_1	15-56
F41_15	F88_35	22.55	2	1	2_1	15-35
