sample1	sample2	dis	sam1_group	sam2_group	group	day
F41_35	F44_35	11.06	2	2	2_2	35-35
F41_35	F44_56	23.64	2	2	2_2	35-56
F41_35	F47_15	85.11	2	2	2_2	35-15
F41_35	F47_56	73.5	2	2	2_2	35-56
F41_35	F48_35	2.32	2	2	2_2	35-35
F41_35	F48_56	78.8	2	2	2_2	35-56
F41_35	F61_35	42.78	2	2	2_2	35-35
F41_35	F62_35	8.3	2	1	2_1	35-35
F41_35	F62_56	6.75	2	1	2_1	35-56
F41_35	F63_35	14.8	2	1	2_1	35-35
F41_35	F64_35	3.49	2	1	2_1	35-35
F41_35	F64_56	32.13	2	1	2_1	35-56
F41_35	F65_35	39.41	2	1	2_1	35-35
F41_35	F66_35	19.44	2	3	2_3	35-35
F41_35	F67_35	40.36	2	3	2_3	35-35
F41_35	F67_56	49.25	2	3	2_3	35-56
F41_35	F68_15	19.74	2	3	2_3	35-15
F41_35	F68_35	33.65	2	3	2_3	35-35
F41_35	F68_56	91.83	2	3	2_3	35-56
F41_35	F69_35	33.49	2	3	2_3	35-35
F41_35	F90_35	46.99	2	1	2_1	35-35
F41_35	F90_56	35.64	2	1	2_1	35-56
F41_35	F91_15	8.98	2	1	2_1	35-15
F41_35	F91_56	38.72	2	1	2_1	35-56
F41_35	F39_15	21.61	2	2	2_2	35-15
F41_35	F39_35	21.6	2	2	2_2	35-35
F41_35	F39_56	2.61	2	2	2_2	35-56
F41_35	F53_56	55.64	2	2	2_2	35-56
F41_35	F56_35	20.44	2	2	2_2	35-35
F41_35	F56_56	139.15	2	2	2_2	35-56
F41_35	F58_35	3.75	2	2	2_2	35-35
F41_35	F58_56	26.31	2	2	2_2	35-56
F41_35	F73_56	40.98	2	3	2_3	35-56
F41_35	F75_15	3.76	2	3	2_3	35-15
F41_35	F76_15	8.75	2	3	2_3	35-15
F41_35	F76_35	56.04	2	3	2_3	35-35
F41_35	F76_56	8.2	2	3	2_3	35-56
F41_35	F77_56	47.58	2	3	2_3	35-56
F41_35	F79_35	33.21	2	3	2_3	35-35
F41_35	F79_56	14.19	2	3	2_3	35-56
F41_35	F80_15	5.33	2	3	2_3	35-15
F41_35	F80_35	14.33	2	3	2_3	35-35
F41_35	F80_56	23.19	2	3	2_3	35-56
F41_35	F83_35	89.82	2	3	2_3	35-35
F41_56	F44_35	174.17	2	2	2_2	56-35
F41_56	F44_56	122.93	2	2	2_2	56-56
F41_56	F47_15	103.63	2	2	2_2	56-15
F41_56	F47_35	44.17	2	2	2_2	56-35
F41_56	F47_56	65.38	2	2	2_2	56-56
F41_56	F48_35	147.23	2	2	2_2	56-35
F41_56	F48_56	45.02	2	2	2_2	56-56
F41_56	F49_35	64.18	2	2	2_2	56-35
F41_56	F49_56	74.13	2	2	2_2	56-56
F41_56	F61_35	64.04	2	2	2_2	56-35
F41_56	F61_56	71.23	2	2	2_2	56-56
F41_56	F62_35	153.44	2	1	2_1	56-35
F41_56	F62_56	135.18	2	1	2_1	56-56
F41_56	F63_35	146.66	2	1	2_1	56-35
F41_56	F63_56	65.4	2	1	2_1	56-56
F41_56	F64_35	383.49	2	1	2_1	56-35
F41_56	F64_56	94.1	2	1	2_1	56-56
F41_56	F65_35	55.61	2	1	2_1	56-35
F41_56	F65_56	56.06	2	1	2_1	56-56
F41_56	F66_35	81.98	2	3	2_3	56-35
F41_56	F66_56	62.06	2	3	2_3	56-56
F41_56	F67_35	96.42	2	3	2_3	56-35
F41_56	F67_56	92.1	2	3	2_3	56-56
F41_56	F68_15	185.21	2	3	2_3	56-15
F41_56	F68_35	62.94	2	3	2_3	56-35
F41_56	F68_56	47.59	2	3	2_3	56-56
F41_56	F69_35	63.44	2	3	2_3	56-35
F41_56	F69_56	54.74	2	3	2_3	56-56
F41_56	F90_35	192.15	2	1	2_1	56-35
F41_56	F90_56	91.13	2	1	2_1	56-56
F41_56	F91_15	142.83	2	1	2_1	56-15
F41_56	F91_35	73.11	2	1	2_1	56-35
F41_56	F91_56	96.72	2	1	2_1	56-56
F41_56	F92_35	62.62	2	1	2_1	56-35
F41_56	F92_56	64.0	2	1	2_1	56-56
F41_56	F39_15	164.92	2	2	2_2	56-15
F41_56	F39_35	151.64	2	2	2_2	56-35
F41_56	F39_56	182.8	2	2	2_2	56-56
F41_56	F52_56	74.49	2	2	2_2	56-56
F41_56	F53_35	53.06	2	2	2_2	56-35
F41_56	F53_56	36.21	2	2	2_2	56-56
F41_56	F55_35	68.25	2	2	2_2	56-35
F41_56	F55_56	68.63	2	2	2_2	56-56
F41_56	F56_35	153.12	2	2	2_2	56-35
F41_56	F56_56	59.29	2	2	2_2	56-56
F41_56	F58_35	288.65	2	2	2_2	56-35
F41_56	F58_56	115.62	2	2	2_2	56-56
F41_56	F70_15	116.43	2	3	2_3	56-15
F41_56	F70_35	70.92	2	3	2_3	56-35
F41_56	F70_56	65.55	2	3	2_3	56-56
F41_56	F73_35	64.22	2	3	2_3	56-35
F41_56	F73_56	87.83	2	3	2_3	56-56
F41_56	F75_35	59.42	2	3	2_3	56-35
F41_56	F75_56	67.88	2	3	2_3	56-56
F41_56	F76_15	152.62	2	3	2_3	56-15
F41_56	F76_35	57.21	2	3	2_3	56-35
F41_56	F76_56	147.56	2	3	2_3	56-56
F41_56	F77_35	70.39	2	3	2_3	56-35
F41_56	F77_56	63.17	2	3	2_3	56-56
F41_56	F79_35	92.61	2	3	2_3	56-35
F41_56	F79_56	134.29	2	3	2_3	56-56
F41_56	F80_15	131.59	2	3	2_3	56-15
F41_56	F80_35	115.41	2	3	2_3	56-35
F41_56	F80_56	104.23	2	3	2_3	56-56
F41_56	F83_35	59.96	2	3	2_3	56-35
F41_56	F83_56	72.53	2	3	2_3	56-56
F41_56	F84_35	67.98	2	1	2_1	56-35
F41_56	F84_56	87.61	2	1	2_1	56-56
F41_56	F86_35	75.09	2	1	2_1	56-35
F41_56	F86_56	78.57	2	1	2_1	56-56
F41_56	F87_35	65.19	2	1	2_1	56-35
F41_56	F87_56	67.28	2	1	2_1	56-56
F41_56	F88_35	66.18	2	1	2_1	56-35
F41_56	F88_56	69.61	2	1	2_1	56-56
F41_56	F89_35	73.59	2	1	2_1	56-35
F41_56	F89_56	85.07	2	1	2_1	56-56
F44_35	F41_35	11.06	2	2	2_2	35-35
F44_35	F41_56	174.17	2	2	2_2	35-56
F44_35	F44_56	29.52	2	2	2_2	35-56
F44_35	F47_15	164.12	2	2	2_2	35-15
F44_35	F47_35	128.92	2	2	2_2	35-35
F44_35	F47_56	69.95	2	2	2_2	35-56
F44_35	F48_35	19.16	2	2	2_2	35-35
F44_35	F48_56	56.05	2	2	2_2	35-56
F44_35	F61_35	35.92	2	2	2_2	35-35
F44_35	F62_35	6.4	2	1	2_1	35-35
F44_35	F62_56	5.93	2	1	2_1	35-56
F44_35	F63_35	54.98	2	1	2_1	35-35
F44_35	F63_56	152.34	2	1	2_1	35-56
F44_35	F64_35	16.1	2	1	2_1	35-35
F44_35	F64_56	37.35	2	1	2_1	35-56
F44_35	F65_35	34.52	2	1	2_1	35-35
F44_35	F66_35	70.87	2	3	2_3	35-35
F44_35	F67_35	24.13	2	3	2_3	35-35
F44_35	F67_56	33.41	2	3	2_3	35-56
F44_35	F68_15	26.85	2	3	2_3	35-15
F44_35	F68_35	34.16	2	3	2_3	35-35
F44_35	F68_56	51.25	2	3	2_3	35-56
F44_35	F69_35	30.44	2	3	2_3	35-35
F44_35	F90_35	84.28	2	1	2_1	35-35
F44_35	F90_56	46.27	2	1	2_1	35-56
F44_35	F91_15	67.18	2	1	2_1	35-15
F44_35	F91_56	37.84	2	1	2_1	35-56
F44_35	F39_15	69.32	2	2	2_2	35-15
F44_35	F39_35	58.05	2	2	2_2	35-35
F44_35	F39_56	11.52	2	2	2_2	35-56
F44_35	F53_35	141.23	2	2	2_2	35-35
F44_35	F53_56	49.01	2	2	2_2	35-56
F44_35	F56_35	9.83	2	2	2_2	35-35
F44_35	F56_56	85.17	2	2	2_2	35-56
F44_35	F58_35	39.83	2	2	2_2	35-35
F44_35	F58_56	30.61	2	2	2_2	35-56
F44_35	F70_35	260.97	2	3	2_3	35-35
F44_35	F70_56	219.56	2	3	2_3	35-56
F44_35	F73_56	33.47	2	3	2_3	35-56
F44_35	F75_15	41.12	2	3	2_3	35-15
F44_35	F76_15	50.37	2	3	2_3	35-15
F44_35	F76_35	53.98	2	3	2_3	35-35
F44_35	F76_56	16.0	2	3	2_3	35-56
F44_35	F77_56	38.07	2	3	2_3	35-56
F44_35	F79_35	39.48	2	3	2_3	35-35
F44_35	F79_56	21.75	2	3	2_3	35-56
F44_35	F80_15	51.14	2	3	2_3	35-15
F44_35	F80_35	44.1	2	3	2_3	35-35
F44_35	F80_56	32.92	2	3	2_3	35-56
F44_35	F83_35	127.57	2	3	2_3	35-35
F44_35	F83_56	204.75	2	3	2_3	35-56
F44_35	F84_35	178.96	2	1	2_1	35-35
F44_35	F84_56	130.18	2	1	2_1	35-56
F44_35	F86_56	155.88	2	1	2_1	35-56
F44_35	F88_56	84.1	2	1	2_1	35-56
F44_35	F89_56	109.41	2	1	2_1	35-56
F44_56	F41_35	23.64	2	2	2_2	56-35
F44_56	F41_56	122.93	2	2	2_2	56-56
F44_56	F44_35	29.52	2	2	2_2	56-35
F44_56	F47_15	150.3	2	2	2_2	56-15
F44_56	F47_35	142.69	2	2	2_2	56-35
F44_56	F47_56	67.03	2	2	2_2	56-56
F44_56	F48_35	12.24	2	2	2_2	56-35
F44_56	F48_56	72.4	2	2	2_2	56-56
F44_56	F61_35	53.8	2	2	2_2	56-35
F44_56	F62_35	28.87	2	1	2_1	56-35
F44_56	F62_56	23.24	2	1	2_1	56-56
F44_56	F63_35	38.1	2	1	2_1	56-35
F44_56	F64_35	21.21	2	1	2_1	56-35
F44_56	F64_56	18.7	2	1	2_1	56-56
F44_56	F65_35	37.12	2	1	2_1	56-35
F44_56	F66_35	47.96	2	3	2_3	56-35
F44_56	F67_35	33.64	2	3	2_3	56-35
F44_56	F67_56	28.21	2	3	2_3	56-56
F44_56	F68_15	19.75	2	3	2_3	56-15
F44_56	F68_35	48.57	2	3	2_3	56-35
F44_56	F68_56	98.02	2	3	2_3	56-56
F44_56	F69_35	42.19	2	3	2_3	56-35
F44_56	F90_35	40.98	2	1	2_1	56-35
F44_56	F90_56	29.61	2	1	2_1	56-56
F44_56	F91_15	41.73	2	1	2_1	56-15
F44_56	F91_56	27.21	2	1	2_1	56-56
F44_56	F39_15	73.76	2	2	2_2	56-15
F44_56	F39_35	50.14	2	2	2_2	56-35
F44_56	F39_56	21.04	2	2	2_2	56-56
F44_56	F53_35	175.16	2	2	2_2	56-35
F44_56	F53_56	64.07	2	2	2_2	56-56
F44_56	F56_35	31.87	2	2	2_2	56-35
F44_56	F56_56	47.13	2	2	2_2	56-56
F44_56	F58_35	41.44	2	2	2_2	56-35
F44_56	F58_56	14.91	2	2	2_2	56-56
F44_56	F70_56	199.46	2	3	2_3	56-56
F44_56	F73_56	40.18	2	3	2_3	56-56
F44_56	F75_15	40.81	2	3	2_3	56-15
F44_56	F76_15	40.52	2	3	2_3	56-15
F44_56	F76_35	77.74	2	3	2_3	56-35
F44_56	F76_56	17.63	2	3	2_3	56-56
F44_56	F77_56	54.33	2	3	2_3	56-56
F44_56	F79_35	28.44	2	3	2_3	56-35
F44_56	F79_56	19.91	2	3	2_3	56-56
F44_56	F80_15	37.9	2	3	2_3	56-15
F44_56	F80_35	25.49	2	3	2_3	56-35
F44_56	F80_56	20.78	2	3	2_3	56-56
F44_56	F83_35	109.16	2	3	2_3	56-35
F44_56	F88_56	64.43	2	1	2_1	56-56
F44_56	F89_56	279.98	2	1	2_1	56-56
F47_15	F41_35	85.11	2	2	2_2	15-35
F47_15	F41_56	103.63	2	2	2_2	15-56
F47_15	F44_35	164.12	2	2	2_2	15-35
F47_15	F44_56	150.3	2	2	2_2	15-56
F47_15	F47_35	115.3	2	2	2_2	15-35
F47_15	F47_56	114.98	2	2	2_2	15-56
F47_15	F48_35	63.89	2	2	2_2	15-35
F47_15	F49_56	131.99	2	2	2_2	15-56
F47_15	F61_56	114.48	2	2	2_2	15-56
F47_15	F62_35	98.78	2	1	2_1	15-35
F47_15	F62_56	165.74	2	1	2_1	15-56
F47_15	F63_35	90.18	2	1	2_1	15-35
F47_15	F63_56	206.14	2	1	2_1	15-56
F47_15	F64_35	125.34	2	1	2_1	15-35
F47_15	F64_56	208.85	2	1	2_1	15-56
F47_15	F66_35	22.14	2	3	2_3	15-35
F47_15	F67_35	145.35	2	3	2_3	15-35
F47_15	F67_56	137.41	2	3	2_3	15-56
F47_15	F68_15	62.09	2	3	2_3	15-15
F47_15	F90_35	52.02	2	1	2_1	15-35
F47_15	F90_56	219.97	2	1	2_1	15-56
F47_15	F91_15	45.69	2	1	2_1	15-15
F47_15	F91_56	144.94	2	1	2_1	15-56
F47_15	F39_15	26.63	2	2	2_2	15-15
F47_15	F39_35	61.61	2	2	2_2	15-35
F47_15	F39_56	109.31	2	2	2_2	15-56
