sample1	sample2	dis	sam1_group	sam2_group	group	day
F62_56	F67_56	12.59	1	3	1_3	56-56
F62_56	F39_56	39.82	1	2	1_2	56-56
F62_56	F70_56	12.37	1	3	1_3	56-56
F62_56	F73_35	10.29	1	3	1_3	56-35
F62_56	F75_35	13.24	1	3	1_3	56-35
F62_56	F75_56	13.63	1	3	1_3	56-56
F62_56	F79_35	13.04	1	3	1_3	56-35
F62_56	F83_56	13.76	1	3	1_3	56-56
F62_56	F87_56	24.73	1	1	1_1	56-56
F67_56	F62_56	12.59	3	1	3_1	56-56
F67_56	F39_56	36.33	3	2	3_2	56-56
F67_56	F70_56	7.08	3	3	3_3	56-56
F67_56	F73_35	2.81	3	3	3_3	56-35
F67_56	F75_35	4.97	3	3	3_3	56-35
F67_56	F75_56	3.69	3	3	3_3	56-56
F67_56	F79_35	2.74	3	3	3_3	56-35
F67_56	F83_56	5.43	3	3	3_3	56-56
F67_56	F87_56	14.37	3	1	3_1	56-56
F39_56	F62_56	39.82	2	1	2_1	56-56
F39_56	F67_56	36.33	2	3	2_3	56-56
F39_56	F70_56	58.08	2	3	2_3	56-56
F39_56	F73_35	31.09	2	3	2_3	56-35
F39_56	F75_35	31.46	2	3	2_3	56-35
F39_56	F75_56	32.17	2	3	2_3	56-56
F39_56	F79_35	27.4	2	3	2_3	56-35
F39_56	F83_56	38.98	2	3	2_3	56-56
F39_56	F87_56	34.03	2	1	2_1	56-56
F70_56	F62_56	12.37	3	1	3_1	56-56
F70_56	F67_56	7.08	3	3	3_3	56-56
F70_56	F39_56	58.08	3	2	3_2	56-56
F70_56	F73_35	3.54	3	3	3_3	56-35
F70_56	F75_35	3.85	3	3	3_3	56-35
F70_56	F75_56	5.9	3	3	3_3	56-56
F70_56	F79_35	5.75	3	3	3_3	56-35
F70_56	F83_56	4.49	3	3	3_3	56-56
F70_56	F87_56	21.33	3	1	3_1	56-56
F73_35	F62_56	10.29	3	1	3_1	35-56
F73_35	F67_56	2.81	3	3	3_3	35-56
F73_35	F39_56	31.09	3	2	3_2	35-56
F73_35	F70_56	3.54	3	3	3_3	35-56
F73_35	F75_35	2.17	3	3	3_3	35-35
F73_35	F75_56	1.23	3	3	3_3	35-56
F73_35	F79_35	0.78	3	3	3_3	35-35
F73_35	F83_56	3.88	3	3	3_3	35-56
F73_35	F87_56	17.38	3	1	3_1	35-56
F75_35	F62_56	13.24	3	1	3_1	35-56
F75_35	F67_56	4.97	3	3	3_3	35-56
F75_35	F39_56	31.46	3	2	3_2	35-56
F75_35	F70_56	3.85	3	3	3_3	35-56
F75_35	F73_35	2.17	3	3	3_3	35-35
F75_35	F75_56	1.62	3	3	3_3	35-56
F75_35	F79_35	3.33	3	3	3_3	35-35
F75_35	F83_56	2.75	3	3	3_3	35-56
F75_35	F87_56	20.0	3	1	3_1	35-56
F75_56	F62_56	13.63	3	1	3_1	56-56
F75_56	F67_56	3.69	3	3	3_3	56-56
F75_56	F39_56	32.17	3	2	3_2	56-56
F75_56	F70_56	5.9	3	3	3_3	56-56
F75_56	F73_35	1.23	3	3	3_3	56-35
F75_56	F75_35	1.62	3	3	3_3	56-35
F75_56	F79_35	1.85	3	3	3_3	56-35
F75_56	F83_56	3.61	3	3	3_3	56-56
F75_56	F87_56	16.1	3	1	3_1	56-56
F79_35	F62_56	13.04	3	1	3_1	35-56
F79_35	F67_56	2.74	3	3	3_3	35-56
F79_35	F39_56	27.4	3	2	3_2	35-56
F79_35	F70_56	5.75	3	3	3_3	35-56
F79_35	F73_35	0.78	3	3	3_3	35-35
F79_35	F75_35	3.33	3	3	3_3	35-35
F79_35	F75_56	1.85	3	3	3_3	35-56
F79_35	F83_56	4.26	3	3	3_3	35-56
F79_35	F87_56	20.01	3	1	3_1	35-56
F83_56	F62_56	13.76	3	1	3_1	56-56
F83_56	F67_56	5.43	3	3	3_3	56-56
F83_56	F39_56	38.98	3	2	3_2	56-56
F83_56	F70_56	4.49	3	3	3_3	56-56
F83_56	F73_35	3.88	3	3	3_3	56-35
F83_56	F75_35	2.75	3	3	3_3	56-35
F83_56	F75_56	3.61	3	3	3_3	56-56
F83_56	F79_35	4.26	3	3	3_3	56-35
F83_56	F87_56	17.88	3	1	3_1	56-56
F87_56	F62_56	24.73	1	1	1_1	56-56
F87_56	F67_56	14.37	1	3	1_3	56-56
F87_56	F39_56	34.03	1	2	1_2	56-56
F87_56	F70_56	21.33	1	3	1_3	56-56
F87_56	F73_35	17.38	1	3	1_3	56-35
F87_56	F75_35	20.0	1	3	1_3	56-35
F87_56	F75_56	16.1	1	3	1_3	56-56
F87_56	F79_35	20.01	1	3	1_3	56-35
F87_56	F83_56	17.88	1	3	1_3	56-56
