sample1	sample2	dis	sam1_group	sam2_group	group	day
F41_35	F41_56	40.88	2	2	2_2	35-56
F41_35	F44_15	23.47	2	2	2_2	35-15
F41_35	F44_35	35.86	2	2	2_2	35-35
F41_35	F44_56	47.23	2	2	2_2	35-56
F41_35	F47_15	54.59	2	2	2_2	35-15
F41_35	F47_35	72.61	2	2	2_2	35-35
F41_35	F47_56	61.47	2	2	2_2	35-56
F41_35	F48_35	154.71	2	2	2_2	35-35
F41_35	F48_56	117.01	2	2	2_2	35-56
F41_35	F49_15	92.81	2	2	2_2	35-15
F41_35	F49_35	116.37	2	2	2_2	35-35
F41_35	F49_56	58.43	2	2	2_2	35-56
F41_35	F61_15	52.9	2	2	2_2	35-15
F41_35	F61_35	92.33	2	2	2_2	35-35
F41_35	F61_56	114.77	2	2	2_2	35-56
F41_35	F62_35	20.29	2	1	2_1	35-35
F41_35	F63_56	49.9	2	1	2_1	35-56
F41_35	F64_15	46.61	2	1	2_1	35-15
F41_35	F64_35	98.34	2	1	2_1	35-35
F41_35	F64_56	56.06	2	1	2_1	35-56
F41_35	F65_35	65.48	2	1	2_1	35-35
F41_35	F65_56	62.52	2	1	2_1	35-56
F41_35	F66_35	30.74	2	3	2_3	35-35
F41_35	F66_56	74.55	2	3	2_3	35-56
F41_35	F67_15	51.51	2	3	2_3	35-15
F41_35	F67_35	92.04	2	3	2_3	35-35
F41_35	F67_56	43.25	2	3	2_3	35-56
F41_35	F68_15	24.48	2	3	2_3	35-15
F41_35	F68_56	71.32	2	3	2_3	35-56
F41_35	F69_15	31.61	2	3	2_3	35-15
F41_35	F69_35	113.52	2	3	2_3	35-35
F41_35	F69_56	30.19	2	3	2_3	35-56
F41_35	F90_15	29.83	2	1	2_1	35-15
F41_35	F90_35	58.47	2	1	2_1	35-35
F41_35	F91_35	103.86	2	1	2_1	35-35
F41_35	F91_56	100.79	2	1	2_1	35-56
F41_35	F92_35	121.91	2	1	2_1	35-35
F41_35	F92_56	75.31	2	1	2_1	35-56
F41_35	F39_15	23.79	2	2	2_2	35-15
F41_35	F39_35	70.13	2	2	2_2	35-35
F41_35	F39_56	107.17	2	2	2_2	35-56
F41_35	F52_15	17.46	2	2	2_2	35-15
F41_35	F52_56	56.86	2	2	2_2	35-56
F41_35	F53_35	101.11	2	2	2_2	35-35
F41_35	F53_56	59.82	2	2	2_2	35-56
F41_35	F55_15	46.22	2	2	2_2	35-15
F41_35	F55_35	24.9	2	2	2_2	35-35
F41_35	F55_56	53.74	2	2	2_2	35-56
F41_35	F56_35	42.28	2	2	2_2	35-35
F41_35	F56_56	41.77	2	2	2_2	35-56
F41_35	F58_15	55.4	2	2	2_2	35-15
F41_35	F58_35	94.53	2	2	2_2	35-35
F41_35	F58_56	78.32	2	2	2_2	35-56
F41_35	F70_15	20.74	2	3	2_3	35-15
F41_35	F70_35	41.33	2	3	2_3	35-35
F41_35	F70_56	45.95	2	3	2_3	35-56
F41_35	F73_15	74.06	2	3	2_3	35-15
F41_35	F73_56	86.05	2	3	2_3	35-56
F41_35	F75_15	22.25	2	3	2_3	35-15
F41_35	F75_35	119.66	2	3	2_3	35-35
F41_35	F75_56	110.25	2	3	2_3	35-56
F41_35	F76_15	17.93	2	3	2_3	35-15
F41_35	F76_35	27.28	2	3	2_3	35-35
F41_35	F76_56	89.67	2	3	2_3	35-56
F41_35	F77_15	19.93	2	3	2_3	35-15
F41_35	F77_35	34.44	2	3	2_3	35-35
F41_35	F77_56	140.37	2	3	2_3	35-56
F41_35	F79_15	47.29	2	3	2_3	35-15
F41_35	F79_35	82.1	2	3	2_3	35-35
F41_35	F80_15	25.19	2	3	2_3	35-15
F41_35	F80_35	43.19	2	3	2_3	35-35
F41_35	F80_56	42.01	2	3	2_3	35-56
F41_35	F83_35	168.52	2	3	2_3	35-35
F41_35	F83_56	43.2	2	3	2_3	35-56
F41_35	F84_15	20.29	2	1	2_1	35-15
F41_35	F84_35	40.34	2	1	2_1	35-35
F41_35	F84_56	50.09	2	1	2_1	35-56
F41_35	F86_15	37.12	2	1	2_1	35-15
F41_35	F86_35	37.65	2	1	2_1	35-35
F41_35	F86_56	91.58	2	1	2_1	35-56
F41_35	F87_15	176.44	2	1	2_1	35-15
F41_35	F87_35	25.6	2	1	2_1	35-35
F41_35	F87_56	97.06	2	1	2_1	35-56
F41_35	F88_35	38.26	2	1	2_1	35-35
F41_35	F88_56	40.63	2	1	2_1	35-56
F41_35	F89_15	42.21	2	1	2_1	35-15
F41_35	F89_35	46.34	2	1	2_1	35-35
F41_35	F89_56	45.51	2	1	2_1	35-56
F41_56	F41_35	40.88	2	2	2_2	56-35
F41_56	F44_15	22.5	2	2	2_2	56-15
F41_56	F44_35	110.25	2	2	2_2	56-35
F41_56	F44_56	11.96	2	2	2_2	56-56
F41_56	F47_15	135.26	2	2	2_2	56-15
F41_56	F47_35	135.61	2	2	2_2	56-35
F41_56	F47_56	10.55	2	2	2_2	56-56
F41_56	F48_56	18.78	2	2	2_2	56-56
F41_56	F49_15	49.9	2	2	2_2	56-15
F41_56	F49_35	101.85	2	2	2_2	56-35
F41_56	F49_56	86.05	2	2	2_2	56-56
F41_56	F61_15	122.99	2	2	2_2	56-15
F41_56	F63_56	1.67	2	1	2_1	56-56
F41_56	F64_15	73.46	2	1	2_1	56-15
F41_56	F64_35	264.54	2	1	2_1	56-35
F41_56	F64_56	5.35	2	1	2_1	56-56
F41_56	F65_35	33.47	2	1	2_1	56-35
F41_56	F66_35	14.21	2	3	2_3	56-35
F41_56	F66_56	23.49	2	3	2_3	56-56
F41_56	F67_35	1.76	2	3	2_3	56-35
F41_56	F68_15	23.5	2	3	2_3	56-15
F41_56	F68_35	12.74	2	3	2_3	56-35
F41_56	F69_15	49.49	2	3	2_3	56-15
F41_56	F69_35	15.0	2	3	2_3	56-35
F41_56	F69_56	86.66	2	3	2_3	56-56
F41_56	F90_15	29.44	2	1	2_1	56-15
F41_56	F90_35	16.88	2	1	2_1	56-35
F41_56	F90_56	30.54	2	1	2_1	56-56
F41_56	F92_56	10.9	2	1	2_1	56-56
F41_56	F39_15	26.95	2	2	2_2	56-15
F41_56	F52_15	18.52	2	2	2_2	56-15
F41_56	F52_56	9.36	2	2	2_2	56-56
F41_56	F53_35	11.56	2	2	2_2	56-35
F41_56	F53_56	109.19	2	2	2_2	56-56
F41_56	F55_15	88.55	2	2	2_2	56-15
F41_56	F55_56	54.86	2	2	2_2	56-56
F41_56	F56_35	23.52	2	2	2_2	56-35
F41_56	F56_56	7.84	2	2	2_2	56-56
F41_56	F58_15	58.87	2	2	2_2	56-15
F41_56	F58_35	21.52	2	2	2_2	56-35
F41_56	F58_56	36.85	2	2	2_2	56-56
F41_56	F70_35	16.3	2	3	2_3	56-35
F41_56	F73_15	59.15	2	3	2_3	56-15
F41_56	F73_35	12.03	2	3	2_3	56-35
F41_56	F75_15	20.11	2	3	2_3	56-15
F41_56	F75_56	168.59	2	3	2_3	56-56
F41_56	F76_15	26.3	2	3	2_3	56-15
F41_56	F76_35	12.67	2	3	2_3	56-35
F41_56	F77_15	22.68	2	3	2_3	56-15
F41_56	F77_35	23.42	2	3	2_3	56-35
F41_56	F79_35	219.59	2	3	2_3	56-35
F41_56	F79_56	3.01	2	3	2_3	56-56
F41_56	F80_15	99.67	2	3	2_3	56-15
F41_56	F80_56	2.19	2	3	2_3	56-56
F41_56	F83_56	1.63	2	3	2_3	56-56
F41_56	F84_15	32.36	2	1	2_1	56-15
F41_56	F87_35	4.84	2	1	2_1	56-35
F41_56	F87_56	9.23	2	1	2_1	56-56
F41_56	F88_35	23.19	2	1	2_1	56-35
F44_15	F41_35	23.47	2	2	2_2	15-35
F44_15	F41_56	22.5	2	2	2_2	15-56
F44_15	F44_35	23.93	2	2	2_2	15-35
F44_15	F44_56	35.74	2	2	2_2	15-56
F44_15	F47_15	16.84	2	2	2_2	15-15
F44_15	F47_35	109.91	2	2	2_2	15-35
F44_15	F47_56	86.94	2	2	2_2	15-56
F44_15	F48_35	207.97	2	2	2_2	15-35
F44_15	F49_15	107.34	2	2	2_2	15-15
F44_15	F49_56	40.12	2	2	2_2	15-56
F44_15	F61_15	33.12	2	2	2_2	15-15
F44_15	F62_35	16.84	2	1	2_1	15-35
F44_15	F63_56	38.36	2	1	2_1	15-56
F44_15	F64_15	22.67	2	1	2_1	15-15
F44_15	F64_35	158.01	2	1	2_1	15-35
F44_15	F64_56	39.12	2	1	2_1	15-56
F44_15	F65_35	79.18	2	1	2_1	15-35
F44_15	F65_56	44.93	2	1	2_1	15-56
F44_15	F66_35	25.17	2	3	2_3	15-35
F44_15	F66_56	76.72	2	3	2_3	15-56
F44_15	F67_15	31.4	2	3	2_3	15-15
F44_15	F67_35	88.68	2	3	2_3	15-35
F44_15	F67_56	34.15	2	3	2_3	15-56
F44_15	F68_15	11.75	2	3	2_3	15-15
F44_15	F68_35	139.06	2	3	2_3	15-35
F44_15	F68_56	65.34	2	3	2_3	15-56
F44_15	F69_15	15.95	2	3	2_3	15-15
F44_15	F69_35	911.23	2	3	2_3	15-35
F44_15	F69_56	41.11	2	3	2_3	15-56
F44_15	F90_15	16.2	2	1	2_1	15-15
F44_15	F90_35	29.75	2	1	2_1	15-35
F44_15	F91_35	168.24	2	1	2_1	15-35
F44_15	F91_56	242.25	2	1	2_1	15-56
F44_15	F92_56	78.12	2	1	2_1	15-56
F44_15	F39_15	11.59	2	2	2_2	15-15
F44_15	F39_35	76.4	2	2	2_2	15-35
F44_15	F52_15	17.1	2	2	2_2	15-15
F44_15	F52_56	60.57	2	2	2_2	15-56
F44_15	F53_35	156.69	2	2	2_2	15-35
F44_15	F53_56	50.77	2	2	2_2	15-56
