sample1	sample2	dis	sam1_group	sam2_group	group	day
F41_35	F41_56	8.42	2	2	2_2	35-56
F41_35	F44_56	9.67	2	2	2_2	35-56
F41_35	F48_35	28.94	2	2	2_2	35-35
F41_35	F49_35	1.54	2	2	2_2	35-35
F41_35	F49_56	11.75	2	2	2_2	35-56
F41_35	F61_35	8.94	2	2	2_2	35-35
F41_35	F61_56	9.31	2	2	2_2	35-56
F41_35	F62_35	9.06	2	1	2_1	35-35
F41_35	F63_56	10.36	2	1	2_1	35-56
F41_35	F64_15	1.64	2	1	2_1	35-15
F41_35	F65_56	9.34	2	1	2_1	35-56
F41_35	F66_35	10.13	2	3	2_3	35-35
F41_35	F67_15	9.26	2	3	2_3	35-15
F41_35	F68_35	11.49	2	3	2_3	35-35
F41_35	F90_35	5.88	2	1	2_1	35-35
F41_35	F90_56	8.79	2	1	2_1	35-56
F41_35	F92_56	14.26	2	1	2_1	35-56
F41_35	F39_15	1.51	2	2	2_2	35-15
F41_35	F52_56	1.47	2	2	2_2	35-56
F41_35	F53_56	25.98	2	2	2_2	35-56
F41_35	F55_35	1.69	2	2	2_2	35-35
F41_35	F56_35	1.66	2	2	2_2	35-35
F41_35	F56_56	0.99	2	2	2_2	35-56
F41_35	F70_35	9.72	2	3	2_3	35-35
F41_35	F70_56	7.1	2	3	2_3	35-56
F41_35	F73_35	1.1	2	3	2_3	35-35
F41_35	F73_56	10.5	2	3	2_3	35-56
F41_35	F75_56	1.51	2	3	2_3	35-56
F41_35	F76_56	7.12	2	3	2_3	35-56
F41_35	F79_15	1.45	2	3	2_3	35-15
F41_35	F79_35	1.86	2	3	2_3	35-35
F41_35	F79_56	1.74	2	3	2_3	35-56
F41_35	F80_35	9.25	2	3	2_3	35-35
F41_35	F84_35	8.9	2	1	2_1	35-35
F41_35	F84_56	9.77	2	1	2_1	35-56
F41_35	F86_35	10.53	2	1	2_1	35-35
F41_35	F88_35	7.74	2	1	2_1	35-35
F41_35	F88_56	10.37	2	1	2_1	35-56
F41_35	F89_35	9.48	2	1	2_1	35-35
F41_35	F89_56	9.28	2	1	2_1	35-56
F41_56	F41_35	8.42	2	2	2_2	56-35
F41_56	F44_56	4.66	2	2	2_2	56-56
F41_56	F48_35	75.23	2	2	2_2	56-35
F41_56	F49_35	8.59	2	2	2_2	56-35
F41_56	F49_56	8.08	2	2	2_2	56-56
F41_56	F61_35	4.82	2	2	2_2	56-35
F41_56	F61_56	7.28	2	2	2_2	56-56
F41_56	F62_35	2.84	2	1	2_1	56-35
F41_56	F63_56	3.14	2	1	2_1	56-56
F41_56	F64_15	6.62	2	1	2_1	56-15
F41_56	F65_56	4.06	2	1	2_1	56-56
F41_56	F66_35	6.52	2	3	2_3	56-35
F41_56	F67_15	3.84	2	3	2_3	56-15
F41_56	F68_35	2.94	2	3	2_3	56-35
F41_56	F90_35	8.3	2	1	2_1	56-35
F41_56	F90_56	3.96	2	1	2_1	56-56
F41_56	F92_56	4.7	2	1	2_1	56-56
F41_56	F39_15	6.79	2	2	2_2	56-15
F41_56	F52_56	6.73	2	2	2_2	56-56
F41_56	F53_56	23.22	2	2	2_2	56-56
F41_56	F55_35	7.78	2	2	2_2	56-35
